         838171 function calls (837880 primitive calls) in 155.895 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 tempfile.py:229(_get_candidate_names)
        3    0.000    0.000    0.001    0.000 connection.py:534(Pipe)
        3    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        3    0.000    0.000    0.000    0.000 transforms_interface.py:41(to_tuple)
        3    0.000    0.000    0.000    0.000 queues.py:71(_reset)
        3    0.000    0.000    0.001    0.000 queues.py:37(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:212(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:144(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:186(__init__)
        3    0.000    0.000    0.002    0.001 queues.py:296(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:235(_make_methods)
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        3    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
        3    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      2/1    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 contextlib.py:347(__exit__)
        2    0.000    0.000    0.001    0.001 threading.py:604(wait)
        2    0.000    0.000    0.000    0.000 threading.py:1214(daemon)
        2    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        2    0.001    0.000    0.005    0.003 glob.py:175(_listdir)
        2    0.000    0.000    0.000    0.000 contextlib.py:343(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:345(__enter__)
        2    0.000    0.000    0.000    0.000 threading.py:1317(_make_invoke_excepthook)
        2    0.001    0.000    0.049    0.025 glob.py:13(glob)
        2    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
        2    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
        2    0.000    0.000    0.000    0.000 threading.py:1199(daemon)
        2    0.000    0.000    0.000    0.000 threading.py:555(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:1446(current_thread)
        2    0.000    0.000    0.000    0.000 enum.py:688(__call__)
        2    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        2    0.000    0.000    0.000    0.000 enum.py:1501(__and__)
        2    0.000    0.000    0.001    0.001 threading.py:938(start)
        2    0.000    0.000    0.001    0.001 threading.py:288(wait)
        2    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:1093(__new__)
        2    0.004    0.002    0.016    0.008 fnmatch.py:48(filter)
        2    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
      2/1    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
      2/1    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        2    0.000    0.000    0.000    0.000 glob.py:31(iglob)
        2    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        2    0.000    0.000    0.000    0.000 glob.py:213(_join)
        2    0.000    0.000    0.021    0.010 glob.py:105(_glob1)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
